,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
s[93],-0.001,0.459,-0.868,0.86,0.001,0.001,651537.0,292806.0,1.0
s[94],-0.001,0.459,-0.873,0.858,0.001,0.001,659238.0,294945.0,1.0
s[95],-0.0,0.459,-0.871,0.856,0.001,0.001,656755.0,298459.0,1.0
s[96],-0.001,0.459,-0.866,0.869,0.001,0.001,675094.0,296203.0,1.0
s[97],-0.001,0.459,-0.862,0.866,0.001,0.001,661549.0,296285.0,1.0
s[98],0.0,0.459,-0.862,0.867,0.001,0.001,669616.0,300086.0,1.0
s[99],0.0,0.0,0.0,0.0,0.0,0.0,400000.0,400000.0,
logr,4.655,0.324,4.058,5.268,0.0,0.0,718303.0,274935.0,1.0
x[0],0.01,0.003,0.005,0.016,0.0,0.0,701540.0,275572.0,1.0
x[1],0.01,0.003,0.005,0.016,0.0,0.0,703567.0,276512.0,1.0
x[2],0.01,0.003,0.005,0.016,0.0,0.0,708698.0,277730.0,1.0
x[3],0.01,0.003,0.004,0.016,0.0,0.0,705304.0,278327.0,1.0
x[4],0.01,0.003,0.004,0.016,0.0,0.0,710530.0,275229.0,1.0
x[5],0.01,0.003,0.004,0.016,0.0,0.0,702741.0,277368.0,1.0
x[6],0.01,0.003,0.004,0.016,0.0,0.0,706217.0,277959.0,1.0
x[7],0.01,0.003,0.004,0.016,0.0,0.0,710960.0,271884.0,1.0
x[8],0.01,0.003,0.005,0.016,0.0,0.0,712760.0,275847.0,1.0
x[9],0.01,0.003,0.005,0.016,0.0,0.0,700871.0,275130.0,1.0
x[10],0.01,0.003,0.004,0.016,0.0,0.0,704354.0,277542.0,1.0
x[11],0.01,0.003,0.004,0.016,0.0,0.0,708189.0,276754.0,1.0
x[12],0.01,0.003,0.004,0.016,0.0,0.0,706232.0,279351.0,1.0
x[13],0.01,0.003,0.004,0.016,0.0,0.0,693411.0,275310.0,1.0
x[14],0.01,0.003,0.004,0.016,0.0,0.0,710263.0,275075.0,1.0
x[15],0.01,0.003,0.004,0.016,0.0,0.0,695275.0,271183.0,1.0
x[16],0.01,0.003,0.004,0.016,0.0,0.0,697650.0,278713.0,1.0
x[17],0.01,0.003,0.004,0.016,0.0,0.0,716304.0,276812.0,1.0
x[18],0.01,0.003,0.004,0.016,0.0,0.0,704541.0,274806.0,1.0
